project,test_name,label,loc,num_asserts,thread_sleep_count,has_thread_sleep,async_wait_count,has_async_wait,has_file_io,has_network_io,has_concurrency,num_test_methods,num_try_catch,has_setup_teardown,num_conditionals,has_random,has_system_time,num_annotations
activiti,org.activiti.engine.test.db.metadatatest.testmetadata,0,68,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
activiti,org.activiti.engine.test.json.jsontest.testdirectjsonpropertyaccess,0,206,50,0,0,0,0,0,0,0,0,0,0,3,0,0,4
activiti,org.activiti.engine.test.json.jsontest.testjsonarrayavailable,0,206,50,0,0,0,0,0,0,0,0,0,0,3,0,0,4
activiti,org.activiti.engine.test.json.jsontest.testjsonobjectavailable,0,206,50,0,0,0,0,0,0,0,0,0,0,3,0,0,4
activiti,org.activiti.spring.test.jpa.jpatest.testjpavariabledisapprovalpath,0,149,16,0,0,0,0,0,0,0,0,0,0,3,0,0,13
activiti,org.activiti.spring.test.jpa.jpatest.testjpavariablehappypath,0,149,16,0,0,0,0,0,0,0,0,0,0,3,0,0,13
ambari,org.apache.ambari.server.actionmanager.testactionmanager.testactionresponse,0,288,25,0,0,0,0,0,0,0,6,0,1,0,0,1,9
ambari,org.apache.ambari.server.actionmanager.testactionmanager.testlargelogs,0,288,25,0,0,0,0,0,0,0,6,0,1,0,0,1,9
ambari,org.apache.ambari.server.actionmanager.testactionscheduler.testactionschedule,0,2670,105,0,0,4,1,0,0,0,34,1,1,112,0,1,77
ambari,org.apache.ambari.server.actionmanager.testactionscheduler.testactiontimeout,0,2670,105,0,0,4,1,0,0,0,34,1,1,112,0,1,77
ambari,org.apache.ambari.server.actionmanager.testactionscheduler.testsuccesscriteria,0,2670,105,0,0,4,1,0,0,0,34,1,1,112,0,1,77
ambari,org.apache.ambari.server.actionmanager.testactionscheduler.testsuccessfactors,0,2670,105,0,0,4,1,0,0,0,34,1,1,112,0,1,77
ambari,org.apache.ambari.server.actionmanager.teststage.testtasktimeout,0,73,2,0,0,0,0,0,0,0,2,0,1,1,0,0,6
ambari,org.apache.ambari.server.agent.agenthostinfotest.testdeserializehostinfo,0,74,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1
ambari,org.apache.ambari.server.agent.testheartbeathandler.testcommandreport,0,1390,87,0,0,0,0,1,0,0,24,5,1,3,0,1,46
ambari,org.apache.ambari.server.agent.testheartbeathandler.testheartbeat,0,1390,87,0,0,0,0,1,0,0,24,5,1,3,0,1,46
ambari,org.apache.ambari.server.agent.testheartbeathandler.testinvalidosregistration,0,1390,87,0,0,0,0,1,0,0,24,5,1,3,0,1,46
ambari,org.apache.ambari.server.agent.testheartbeathandler.testregisternewnode,0,1390,87,0,0,0,0,1,0,0,24,5,1,3,0,1,46
ambari,org.apache.ambari.server.agent.testheartbeathandler.testregistration,0,1390,87,0,0,0,0,1,0,0,24,5,1,3,0,1,46
ambari,org.apache.ambari.server.agent.testheartbeathandler.testregistrationpublichostname,0,1390,87,0,0,0,0,1,0,0,24,5,1,3,0,1,46
ambari,org.apache.ambari.server.agent.testheartbeathandler.testrequestid,0,1390,87,0,0,0,0,1,0,0,24,5,1,3,0,1,46
ambari,org.apache.ambari.server.agent.testheartbeathandler.teststatecommandsatregistration,0,1390,87,0,0,0,0,1,0,0,24,5,1,3,0,1,46
ambari,org.apache.ambari.server.agent.testheartbeathandler.teststatusheartbeat,0,1390,87,0,0,0,0,1,0,0,24,5,1,3,0,1,46
ambari,org.apache.ambari.server.agent.testheartbeathandler.testtaskinprogresshandling,0,1390,87,0,0,0,0,1,0,0,24,5,1,3,0,1,46
ambari,org.apache.ambari.server.agent.testheartbeatmonitor.testheartbeatloss,0,552,33,3,1,0,0,0,0,1,6,0,1,17,0,1,12
ambari,org.apache.ambari.server.agent.testheartbeatmonitor.testheartbeatstatecommandsenqueueing,1,552,33,3,1,0,0,0,0,1,6,0,1,17,0,1,12
ambari,org.apache.ambari.server.agent.testheartbeatmonitor.teststatecommandsgeneration,0,552,33,3,1,0,0,0,0,1,6,0,1,17,0,1,12
ambari,org.apache.ambari.server.api.handlers.createhandlertest.testhandlerequest__asynchronous,0,254,16,0,0,0,0,0,0,0,4,0,1,9,0,0,6
ambari,org.apache.ambari.server.api.handlers.createhandlertest.testhandlerequest__synchronous,0,254,16,0,0,0,0,0,0,0,4,0,1,9,0,0,6
ambari,org.apache.ambari.server.api.handlers.deletehandlertest.testhandlerequest__asynchronous,0,222,14,0,0,0,0,0,0,0,4,0,1,6,0,0,6
ambari,org.apache.ambari.server.api.handlers.deletehandlertest.testhandlerequest__synchronous,0,222,14,0,0,0,0,0,0,0,4,0,1,6,0,0,6
ambari,org.apache.ambari.server.api.handlers.querycreatehandlertest.testhandlerequest,0,631,16,0,0,0,0,0,0,0,6,0,0,3,0,0,10
ambari,org.apache.ambari.server.api.handlers.readhandlertest.testhandlerrequest,0,298,15,0,0,0,0,0,0,0,8,0,0,0,0,0,8
ambari,org.apache.ambari.server.api.handlers.updatehandlertest.testhandlerequest__asynchronous,0,201,13,0,0,0,0,0,0,0,3,0,1,6,0,0,5
ambari,org.apache.ambari.server.api.handlers.updatehandlertest.testhandlerequest__synchronous,0,201,13,0,0,0,0,0,0,0,3,0,1,6,0,0,5
ambari,org.apache.ambari.server.api.query.queryimpltest.testaddproperty__localcategory,0,812,150,0,0,0,0,0,0,0,21,1,0,3,0,0,22
ambari,org.apache.ambari.server.api.query.queryimpltest.testaddproperty__localcategorysubpropsonly,0,812,150,0,0,0,0,0,0,0,21,1,0,3,0,0,22
ambari,org.apache.ambari.server.api.query.queryimpltest.testaddproperty__localproperty,0,812,150,0,0,0,0,0,0,0,21,1,0,3,0,0,22
ambari,org.apache.ambari.server.api.query.queryimpltest.testaddproperty__localsubcategory,0,812,150,0,0,0,0,0,0,0,21,1,0,3,0,0,22
ambari,org.apache.ambari.server.api.query.queryimpltest.testaddproperty__subproperty,0,812,150,0,0,0,0,0,0,0,21,1,0,3,0,0,22
ambari,org.apache.ambari.server.api.query.queryimpltest.testexecute__collection_nonnullinternalpredicate_nonnulluserpredicate,0,812,150,0,0,0,0,0,0,0,21,1,0,3,0,0,22
ambari,org.apache.ambari.server.api.query.queryimpltest.testexecute__collection_nullinternalpredicate_nonnulluserpredicate,0,812,150,0,0,0,0,0,0,0,21,1,0,3,0,0,22
ambari,org.apache.ambari.server.api.query.queryimpltest.testexecute__collection_nullinternalpredicate_nulluserpredicate,0,812,150,0,0,0,0,0,0,0,21,1,0,3,0,0,22
ambari,org.apache.ambari.server.api.query.queryimpltest.testexecute__component_collection_nospecifiedprops,0,812,150,0,0,0,0,0,0,0,21,1,0,3,0,0,22
ambari,org.apache.ambari.server.api.query.queryimpltest.testexecute__component_instance_nospecifiedprops,0,812,150,0,0,0,0,0,0,0,21,1,0,3,0,0,22
ambari,org.apache.ambari.server.api.services.actionservicetest.testcreateactions,0,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ambari,org.apache.ambari.server.api.services.actionservicetest.testgetactions,0,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ambari,org.apache.ambari.server.api.services.ambarimetainfotest.getcomponentcategory,0,1799,460,3,1,0,0,1,1,1,68,7,1,118,0,1,74
ambari,org.apache.ambari.server.api.services.ambarimetainfotest.getcomponentsbyservice,0,1799,460,3,1,0,0,1,1,1,68,7,1,118,0,1,74
ambari,org.apache.ambari.server.api.services.ambarimetainfotest.getrepository,0,1799,460,3,1,0,0,1,1,1,68,7,1,118,0,1,74
ambari,org.apache.ambari.server.api.services.ambarimetainfotest.getserviceinfo,0,1799,460,3,1,0,0,1,1,1,68,7,1,118,0,1,74
ambari,org.apache.ambari.server.api.services.ambarimetainfotest.getservices,0,1799,460,3,1,0,0,1,1,1,68,7,1,118,0,1,74
ambari,org.apache.ambari.server.api.services.ambarimetainfotest.getsupportedconfigs,0,1799,460,3,1,0,0,1,1,1,68,7,1,118,0,1,74
ambari,org.apache.ambari.server.api.services.ambarimetainfotest.getsupportedservices,0,1799,460,3,1,0,0,1,1,1,68,7,1,118,0,1,74
ambari,org.apache.ambari.server.api.services.ambarimetainfotest.issupportedstack,0,1799,460,3,1,0,0,1,1,1,68,7,1,118,0,1,74
ambari,org.apache.ambari.server.api.services.ambarimetainfotest.isvalidservice,0,1799,460,3,1,0,0,1,1,1,68,7,1,118,0,1,74
ambari,org.apache.ambari.server.api.services.ambarimetainfotest.testgetrepos,0,1799,460,3,1,0,0,1,1,1,68,7,1,118,0,1,74
ambari,org.apache.ambari.server.api.services.ambarimetainfotest.testservicenameusingcomponentname,0,1799,460,3,1,0,0,1,1,1,68,7,1,118,0,1,74
ambari,org.apache.ambari.server.api.services.clusterservicetest.testcreatecluster,0,154,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7
ambari,org.apache.ambari.server.api.services.clusterservicetest.testdeletecluster,0,154,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7
ambari,org.apache.ambari.server.api.services.clusterservicetest.testgetcluster,0,154,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7
ambari,org.apache.ambari.server.api.services.clusterservicetest.testgetclusters,0,154,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7
ambari,org.apache.ambari.server.api.services.clusterservicetest.testupdatecluster,0,154,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7
ambari,org.apache.ambari.server.api.services.componentservicetest.testcreatecomponent,0,101,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ambari,org.apache.ambari.server.api.services.componentservicetest.testdeletecomponent,0,101,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ambari,org.apache.ambari.server.api.services.componentservicetest.testgetcomponent,0,101,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ambari,org.apache.ambari.server.api.services.componentservicetest.testgetcomponents,0,101,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ambari,org.apache.ambari.server.api.services.componentservicetest.testupdatecomponent,0,101,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ambari,org.apache.ambari.server.api.services.componentservicetest.testupdatecomponents,0,101,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ambari,org.apache.ambari.server.api.services.configurationservicetest.testcreateconfiguration,0,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ambari,org.apache.ambari.server.api.services.hostcomponentservicetest.testcreatehostcomponent,0,101,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ambari,org.apache.ambari.server.api.services.hostcomponentservicetest.testdeletehostcomponent,0,101,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ambari,org.apache.ambari.server.api.services.hostcomponentservicetest.testgethostcomponent,0,101,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ambari,org.apache.ambari.server.api.services.hostcomponentservicetest.testgethostcomponents,0,101,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ambari,org.apache.ambari.server.api.services.hostcomponentservicetest.testupdatehostcomponent,0,101,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ambari,org.apache.ambari.server.api.services.hostcomponentservicetest.testupdatehostcomponents,0,101,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ambari,org.apache.ambari.server.api.services.hostservicetest.testcreatehost,0,98,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ambari,org.apache.ambari.server.api.services.hostservicetest.testcreatehosts,0,98,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ambari,org.apache.ambari.server.api.services.hostservicetest.testdeletehost,0,98,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ambari,org.apache.ambari.server.api.services.hostservicetest.testgethost,0,98,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ambari,org.apache.ambari.server.api.services.hostservicetest.testgethosts,0,98,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ambari,org.apache.ambari.server.api.services.hostservicetest.testupdatehost,0,98,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ambari,org.apache.ambari.server.api.services.hostservicetest.testupdatehosts,0,98,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ambari,org.apache.ambari.server.api.services.persistkeyvalueimpltest.teststore,0,88,8,0,0,0,0,0,0,1,2,0,1,5,0,0,5
ambari,org.apache.ambari.server.api.services.persistservicetest.testpersist,0,88,7,0,0,0,0,0,0,0,1,0,1,0,0,0,8
ambari,org.apache.ambari.server.api.services.serviceservicetest.testcreateservice,0,147,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5
ambari,org.apache.ambari.server.api.services.serviceservicetest.testdeleteservice,0,147,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5
ambari,org.apache.ambari.server.api.services.serviceservicetest.testgetservice,0,147,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5
ambari,org.apache.ambari.server.api.services.serviceservicetest.testgetservices,0,147,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5
ambari,org.apache.ambari.server.api.services.serviceservicetest.testupdateservice,0,147,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5
ambari,org.apache.ambari.server.api.services.serviceservicetest.testupdateservices,0,147,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5
ambari,org.apache.ambari.server.bootstrap.bootstrapresourcetest.bootstrapget,0,121,2,0,0,0,0,0,1,0,2,1,0,0,0,0,5
ambari,org.apache.ambari.server.bootstrap.bootstrapresourcetest.bootstrappost,0,121,2,0,0,0,0,0,1,0,2,1,0,0,0,0,5
ambari,org.apache.ambari.server.bootstrap.bootstraptest.testpolling,0,217,15,4,1,1,1,1,0,1,3,0,1,7,0,0,7
ambari,org.apache.ambari.server.bootstrap.bootstraptest.testrun,1,217,15,4,1,1,1,1,0,1,3,0,1,7,0,0,7
ambari,org.apache.ambari.server.controller.clusterrequesttest.testbasicgetandset,0,52,6,0,0,0,0,0,0,0,2,0,0,0,0,0,2
ambari,org.apache.ambari.server.controller.clusterrequesttest.testtostring,0,52,6,0,0,0,0,0,0,0,2,0,0,0,0,0,2
ambari,org.apache.ambari.server.controller.clusterresponsetest.testbasicgetandset,0,50,6,0,0,0,0,0,0,0,2,0,0,0,0,0,2
ambari,org.apache.ambari.server.controller.clusterresponsetest.testtostring,0,50,6,0,0,0,0,0,0,0,2,0,0,0,0,0,2
ambari,org.apache.ambari.server.controller.internal.requestimpltest.testgetpropertyids,0,244,125,0,0,0,0,0,0,0,3,1,1,1,0,0,4
ambari,org.apache.ambari.server.controller.internal.resourceimpltest.testgettype,0,146,40,0,0,0,0,0,0,0,6,0,0,4,0,0,6
ambari,org.apache.ambari.server.controller.internal.resourceimpltest.testsetgetproperty,0,146,40,0,0,0,0,0,0,0,6,0,0,4,0,0,6
ambari,org.apache.ambari.server.controller.internal.schemaimpltest.testgetcategories,0,154,20,0,0,0,0,0,0,0,2,0,0,2,0,0,10
ambari,org.apache.ambari.server.controller.internal.schemaimpltest.testgetkeypropertyid,0,154,20,0,0,0,0,0,0,0,2,0,0,2,0,0,10
ambari,org.apache.ambari.server.controller.predicate.andpredicatetest.testapply,0,61,6,0,0,0,0,0,0,0,2,0,0,0,0,0,2
ambari,org.apache.ambari.server.controller.predicate.andpredicatetest.testgetproperties,0,61,6,0,0,0,0,0,0,0,2,0,0,0,0,0,2
ambari,org.apache.ambari.server.controller.predicate.notpredicatetest.testapply,0,48,4,0,0,0,0,0,0,0,2,0,0,0,0,0,2
ambari,org.apache.ambari.server.controller.predicate.notpredicatetest.testgetproperties,0,48,4,0,0,0,0,0,0,0,2,0,0,0,0,0,2
ambari,org.apache.ambari.server.controller.predicate.orpredicatetest.testapply,0,61,6,0,0,0,0,0,0,0,2,0,0,0,0,0,2
ambari,org.apache.ambari.server.controller.predicate.orpredicatetest.testgetproperties,0,61,6,0,0,0,0,0,0,0,2,0,0,0,0,0,2
ambari,org.apache.ambari.server.orm.testormimpl.testaborthostrolecommands,0,331,16,0,0,0,0,0,0,1,11,0,1,4,0,0,28
ambari,org.apache.ambari.server.orm.testormimpl.testautoincrementedfield,0,331,16,0,0,0,0,0,0,1,11,0,1,4,0,0,28
ambari,org.apache.ambari.server.orm.testormimpl.testcascaderemovefail,0,331,16,0,0,0,0,0,0,1,11,0,1,4,0,0,28
ambari,org.apache.ambari.server.orm.testormimpl.testconcurrentmodification,0,331,16,0,0,0,0,0,0,1,11,0,1,4,0,0,28
ambari,org.apache.ambari.server.orm.testormimpl.testemptypersistentcollection,0,331,16,0,0,0,0,0,0,1,11,0,1,4,0,0,28
ambari,org.apache.ambari.server.orm.testormimpl.testfindhostsbystage,0,331,16,0,0,0,0,0,0,1,11,0,1,4,0,0,28
ambari,org.apache.ambari.server.orm.testormimpl.testfindstagebyhostrole,0,331,16,0,0,0,0,0,0,1,11,0,1,4,0,0,28
ambari,org.apache.ambari.server.orm.testormimpl.testlastrequestid,0,331,16,0,0,0,0,0,0,1,11,0,1,4,0,0,28
ambari,org.apache.ambari.server.orm.testormimpl.testrollbackexception,0,331,16,0,0,0,0,0,0,1,11,0,1,4,0,0,28
ambari,org.apache.ambari.server.orm.testormimpl.testsaferollback,0,331,16,0,0,0,0,0,0,1,11,0,1,4,0,0,28
ambari,org.apache.ambari.server.orm.testormimpl.testsortedcommands,0,331,16,0,0,0,0,0,0,1,11,0,1,4,0,0,28
ambari,org.apache.ambari.server.resources.testresources.testgetresource,0,98,2,0,0,0,0,1,0,0,1,2,1,0,0,0,7
ambari,org.apache.ambari.server.security.certgenerationtest.testservercertgen,0,175,9,0,0,0,0,1,0,0,5,3,1,3,1,0,12
ambari,org.apache.ambari.server.security.certgenerationtest.testserverkeygen,0,175,9,0,0,0,0,1,0,0,5,3,1,3,1,0,12
ambari,org.apache.ambari.server.security.certgenerationtest.testserverkeystoregen,0,175,9,0,0,0,0,1,0,0,5,3,1,3,1,0,12
ambari,org.apache.ambari.server.security.sslexecutiontest.testssllogging,0,96,1,0,0,0,0,0,0,0,1,2,1,0,0,0,5
ambari,org.apache.ambari.server.security.authorization.testusers.testgetallusers,0,512,116,0,0,0,0,0,0,0,15,10,1,2,0,0,27
ambari,org.apache.ambari.server.security.authorization.testusers.testmodifypassword,0,512,116,0,0,0,0,0,0,0,15,10,1,2,0,0,27
ambari,org.apache.ambari.server.security.authorization.testusers.testpromoteuser,0,512,116,0,0,0,0,0,0,0,15,10,1,2,0,0,27
ambari,org.apache.ambari.server.stageplanner.teststageplanner.testmanystages,0,415,10,0,0,0,0,0,0,0,9,4,1,5,0,1,15
ambari,org.apache.ambari.server.stageplanner.teststageplanner.testmultistageplan,0,415,10,0,0,0,0,0,0,0,9,4,1,5,0,1,15
ambari,org.apache.ambari.server.stageplanner.teststageplanner.testsinglestageplan,0,415,10,0,0,0,0,0,0,0,9,4,1,5,0,1,15
ambari,org.apache.ambari.server.state.servicecomponenttest.testaddandgetservicecomponenthosts,0,473,74,0,0,0,0,0,0,0,10,2,1,3,0,0,12
ambari,org.apache.ambari.server.state.servicecomponenttest.testconverttoresponse,0,473,74,0,0,0,0,0,0,0,10,2,1,3,0,0,12
ambari,org.apache.ambari.server.state.servicecomponenttest.testcreateservicecomponent,0,473,74,0,0,0,0,0,0,0,10,2,1,3,0,0,12
ambari,org.apache.ambari.server.state.servicecomponenttest.testgetandsetconfigs,0,473,74,0,0,0,0,0,0,0,10,2,1,3,0,0,12
ambari,org.apache.ambari.server.state.servicecomponenttest.testgetandsetservicecomponentinfo,0,473,74,0,0,0,0,0,0,0,10,2,1,3,0,0,12
ambari,org.apache.ambari.server.state.servicetest.testaddandgetservicecomponents,0,349,54,0,0,0,0,0,0,0,9,1,1,5,0,0,11
ambari,org.apache.ambari.server.state.servicetest.testconverttoresponse,0,349,54,0,0,0,0,0,0,0,9,1,1,5,0,0,11
ambari,org.apache.ambari.server.state.servicetest.testcreateservice,0,349,54,0,0,0,0,0,0,0,9,1,1,5,0,0,11
ambari,org.apache.ambari.server.state.servicetest.testgetandsetconfigs,0,349,54,0,0,0,0,0,0,0,9,1,1,5,0,0,11
ambari,org.apache.ambari.server.state.servicetest.testgetandsetserviceinfo,0,349,54,0,0,0,0,0,0,0,9,1,1,5,0,0,11
ambari,org.apache.ambari.server.state.action.jobtest.completenewjob,0,120,12,0,0,0,0,0,0,0,7,0,0,1,0,1,7
ambari,org.apache.ambari.server.state.action.jobtest.failnewjob,0,120,12,0,0,0,0,0,0,0,7,0,0,1,0,1,7
ambari,org.apache.ambari.server.state.action.jobtest.reinitcompletedjob,0,120,12,0,0,0,0,0,0,0,7,0,0,1,0,1,7
ambari,org.apache.ambari.server.state.action.jobtest.testjobfailedcompletion,0,120,12,0,0,0,0,0,0,0,7,0,0,1,0,1,7
ambari,org.apache.ambari.server.state.action.jobtest.testjobprogressupdates,0,120,12,0,0,0,0,0,0,0,7,0,0,1,0,1,7
ambari,org.apache.ambari.server.state.action.jobtest.testjobsuccessfulcompletion,0,120,12,0,0,0,0,0,0,0,7,0,0,1,0,1,7
ambari,org.apache.ambari.server.state.action.jobtest.testnewjob,0,120,12,0,0,0,0,0,0,0,7,0,0,1,0,1,7
ambari,org.apache.ambari.server.state.cluster.clusterstest.testaddandgetcluster,0,514,51,0,0,0,0,0,0,0,9,9,1,2,0,1,16
ambari,org.apache.ambari.server.state.cluster.clusterstest.testaddandgethost,0,514,51,0,0,0,0,0,0,0,9,9,1,2,0,1,16
ambari,org.apache.ambari.server.state.cluster.clusterstest.testclusterhostmapping,0,514,51,0,0,0,0,0,0,0,9,9,1,2,0,1,16
ambari,org.apache.ambari.server.state.cluster.clusterstest.testdebugdump,0,514,51,0,0,0,0,0,0,0,9,9,1,2,0,1,16
ambari,org.apache.ambari.server.state.cluster.clusterstest.testgetinvalidcluster,0,514,51,0,0,0,0,0,0,0,9,9,1,2,0,1,16
ambari,org.apache.ambari.server.state.cluster.clustertest.testaddandgetservices,0,1892,263,5,1,0,0,0,0,1,35,6,1,42,0,1,40
ambari,org.apache.ambari.server.state.cluster.clustertest.testaddhost,0,1892,263,5,1,0,0,0,0,1,35,6,1,42,0,1,40
ambari,org.apache.ambari.server.state.cluster.clustertest.testbasicclustersetup,0,1892,263,5,1,0,0,0,0,1,35,6,1,42,0,1,40
ambari,org.apache.ambari.server.state.cluster.clustertest.testconverttoresponse,0,1892,263,5,1,0,0,0,0,1,35,6,1,42,0,1,40
ambari,org.apache.ambari.server.state.cluster.clustertest.testgetandsetconfigs,0,1892,263,5,1,0,0,0,0,1,35,6,1,42,0,1,40
ambari,org.apache.ambari.server.state.cluster.clustertest.testgethoststate,0,1892,263,5,1,0,0,0,0,1,35,6,1,42,0,1,40
ambari,org.apache.ambari.server.state.cluster.clustertest.testgetservicecomponenthosts,0,1892,263,5,1,0,0,0,0,1,35,6,1,42,0,1,40
ambari,org.apache.ambari.server.state.cluster.clustertest.testhostevent,0,1892,263,5,1,0,0,0,0,1,35,6,1,42,0,1,40
